url,status,final_url,redirected,title,description,canonical,h1,h2_count,body_chars,img_count,internal_links,has_gcal,has_form,lang,numeric_id,bytes
http://shiomihouse.com/,200,http://shiomihouse.com/,,,,,"<a href=""http://shiomihouse.com"" title=""古民家ゲストハウス | 汐見の家""><img src=""http://shiomihouse.sakura.ne.jp/wp/wp-content/uploads/2016/04/logo-4.png"" alt=""古民家ゲストハウス | 汐見の家"" style=""width:300px; height:99px;"" /></a>",0,64,3,9,,,ja,,35985
http://shiomihouse.com/about/,200,http://shiomihouse.com/about/,,,,http://shiomihouse.com/about/,汐見の家について,2,1088,8,16,,Y,ja,,61161
http://shiomihouse.com/room/,200,http://shiomihouse.com/room/,,,,http://shiomihouse.com/room/,部屋と施設,2,527,12,13,,Y,ja,,66031
http://shiomihouse.com/access-2/,200,http://shiomihouse.com/access-2/,,,,http://shiomihouse.com/access-2/,アクセス,2,634,3,15,,Y,ja,,51404
http://shiomihouse.com/reservations/,200,http://shiomihouse.com/reservations/,,,,http://shiomihouse.com/reservations/,ご予約,0,1711,2,11,Y,Y,ja,,51722
http://shiomihouse.com/42/,200,http://shiomihouse.com/42/,,,,http://shiomihouse.com/42/,開業記念イベントのお知らせ,2,766,13,39,,Y,ja,Y,70638
http://shiomihouse.com/en/69/,200,http://shiomihouse.com/en/69/,,,,http://shiomihouse.com/en/69/,The opening party of Shiomi House.,2,1647,10,31,,Y,en,Y,62098
http://shiomihouse.com/en/access/,200,http://shiomihouse.com/en/access/,,,,http://shiomihouse.com/en/access/,Access,2,1564,3,14,,Y,en,,48891
http://shiomihouse.com/en/reservations-2/,200,http://shiomihouse.com/en/reservations-2/,,,,http://shiomihouse.com/en/reservations-2/,Reservations,0,3358,2,11,Y,Y,en,,49276
http://shiomihouse.com/en/about-shiomi-house/,200,http://shiomihouse.com/en/about-shiomi-house/,,,,http://shiomihouse.com/en/about-shiomi-house/,About,2,1674,8,12,,Y,en,,52563
http://shiomihouse.com/en/room-and-facility/,200,http://shiomihouse.com/en/room-and-facility/,,,,http://shiomihouse.com/en/room-and-facility/,Room and Facility,2,945,12,12,,Y,en,,53832
http://shiomihouse.com/163/,200,http://shiomihouse.com/163/,,,,http://shiomihouse.com/163/,はじめまして。“しまなみ佐島 汐見の家”です。,2,781,17,38,,Y,ja,Y,77618
http://shiomihouse.com/164/,200,http://shiomihouse.com/164/,,,,http://shiomihouse.com/164/,“汐見の家”はどこにある？,2,798,15,39,,Y,ja,Y,74467
http://shiomihouse.com/165/,200,http://shiomihouse.com/165/,,,,http://shiomihouse.com/165/,2015/4/11(土) 開業前イベントを開催します。,2,1728,15,42,,Y,ja,Y,77467
http://shiomihouse.com/166/,200,http://shiomihouse.com/166/,,,,http://shiomihouse.com/166/,アメリカ日系一世ロバート汐見の足跡（はじめに）,2,2271,14,49,,Y,ja,Y,79002
http://shiomihouse.com/168/,200,http://shiomihouse.com/168/,,,,http://shiomihouse.com/168/,アクセス（福山からバスと船で）,0,1167,13,37,,Y,ja,Y,54851
http://shiomihouse.com/169/,200,http://shiomihouse.com/169/,,,,http://shiomihouse.com/169/,アクセス（尾道よりバスと船で）,2,1242,14,39,,Y,ja,Y,67630
http://shiomihouse.com/170/,200,http://shiomihouse.com/170/,,,,http://shiomihouse.com/170/,リンク集,0,1180,13,38,,Y,ja,Y,60501
http://shiomihouse.com/171/,200,http://shiomihouse.com/171/,,,,http://shiomihouse.com/171/,アクセス（松山・今治よりバス（またはJR）と船で),2,1681,15,40,,Y,ja,Y,70214
http://shiomihouse.com/172/,200,http://shiomihouse.com/172/,,,,http://shiomihouse.com/172/,アクセス（広島空港、三原から船とレンタサイクルで）,2,1477,15,40,,Y,ja,Y,68468
http://shiomihouse.com/173/,200,http://shiomihouse.com/173/,,,,http://shiomihouse.com/173/,アクセス（まとめ）,0,1407,13,43,,Y,ja,Y,55596
http://shiomihouse.com/174/,200,http://shiomihouse.com/174/,,,,http://shiomihouse.com/174/,開業前モニター宿泊のご案内（2015.7.23をもって予約を休止しました。）,0,2533,12,37,,Y,ja,Y,60659
http://shiomihouse.com/175/,200,http://shiomihouse.com/175/,,,,http://shiomihouse.com/175/,佐島ぐらし情報 ①佐島、弓削島、生名島 ３島内の交通手段,0,1693,12,36,,Y,ja,Y,56898
